Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0603,107.89,-57.48,-90.0,top
C11,2.2uF,C1206,86.53,-134.98,90.0,top
C12,100nF,C0603,65.6,-67.95,90.0,top
C13,0402B102K500NT,C0402,106.89,-134.09,0.0,top
C14,CL21A106KAYNNNE,C0805,123.45,-114.85,0.0,top
C15,10uF,C0805,97.9575,-134.45,0.0,top
C16,10uF,C0805,97.3375,-136.31,0.0,top
C17,CL05B104KB54PNC,C0402,102.0875,-132.81,-90.0,top
C18,10uF,C0805,65.435,-77.615,-90.0,top
C2,100nF,C0603,105.99,-57.43,90.0,top
C20,10uF,C0805,110.0075,-131.175,-90.0,top
C21,4.7uF,C0603,100.0575,-137.64,-90.0,top
C22,10uF,C0805,111.84,-131.055,-90.0,top
C23,10uF,C0805,108.1,-131.175,-90.0,top
C24,10uF,C0805,106.275,-131.175,-90.0,top
C26,CL21A106KAYNNNE,C0805,121.125,-124.135,180.0,top
C27,CL21A106KAYNNNE,C0805,119.5,-127.23,90.0,top
C29,CL21A226MAQNNNE,C0805,135.075,-115.8,0.0,top
C3,100uF,CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-R-RD,118.25,-109.395,180.0,top
C30,1uF,C0603,109.375,-122.35,180.0,top
C31,CC0603KRX7R9BB104,C0603,123.9,-124.825,-90.0,top
C34,CC0603KRX7R9BB104,C0603,120.625,-117.775,180.0,top
C35,100nF,C0603,106.4,-115.425,-90.0,top
C36,10uF,C0805,100.1625,-131.65,-90.0,top
C37,10uF,C0805,98.2625,-131.65,-90.0,top
C38,10uF,C0805,96.3875,-131.65,-90.0,top
C4,100nF,C0402,105.05,-132.78,-90.0,top
C40,100nF,C0603,130.65,-131.65,90.0,top
C41,100nF,C0603,117.65,-132.1,0.0,top
C42,100nF,C0603,126.08,-125.62,90.0,top
C43,CL21A226MAQNNNE,C0805,135.075,-120.125,0.0,top
C44,CL21A226MAQNNNE,C0805,135.085,-117.96,0.0,top
C45,CL10B473KB8NNNC,C0603,126.425,-131.925,180.0,top
C46,22uF,C0805,109.15,-125.875,180.0,top
C47,10uF,C0805,109.905,-113.465,180.0,top
C48,100nF,C0603,97.6275,-138.01,0.0,top
C49,CL21A225KBQNNNE,C0805,117.675,-126.575,-90.0,top
C5,CL10B473KB8NNNC,C0603,99.9975,-128.4,180.0,top
C50,100nF,C0603,95.51,-146.855,-90.0,top
C51,100nF,C0603,115.1675,-133.68,180.0,top
C52,CL21A106KAYNNNE,C0805,134.91,-68.22,180.0,top
C55,10uF,C0805,108.325,-135.275,180.0,top
C56,100nF,C0603,108.32,-136.49,0.0,top
C57,10uF,C0805,133.5,-133.9,0.0,top
C58,100nF,C0603,133.55,-131.525,180.0,top
C59,10uF,C0805,114.6275,-135.21,0.0,top
C6,47nF,C0603,106.7975,-128.36,180.0,top
C60,10uF,C0805,114.6175,-137.01,180.0,top
C7,CC0603KRX7R9BB104,C0603,59.775,-105.35,-90.0,top
C8,CC0603KRX7R9BB104,C0603,119.49,-135.175,90.0,top
C9,CC0603KRX7R9BB104,C0603,67.5,-105.625,180.0,top
CN1,A1251WV-8P,CONN-TH_8P-P1.25_A1251WV-8P,60.66,-85.845,90.0,top
CN10,BM04B-SRSS-TB,CONN-SMD_BM04B-SRSS-TB,134.75,-97.6,-90.0,top
CN11,XH-2A,CONN-TH_XH-2A,111.8175,-146.74,0.0,top
CN2,B2B-PH-K-S,CONN-TH_B2B-PH-K-S,60.7,-130.125,-90.0,top
CN3,PH-3A_C2908624,CONN-TH_3P-P2.00_HCTL_PH-3A_C2908624,136.225,-110.1,-90.0,top
CN4,10164227-1001A1RLF,CONN-SMD_100P-P0.40_10164227-1001A1RLF,101.77,-102.37,0.0,top
CN5,10164227-1001A1RLF,CONN-SMD_100P-P0.40_10164227-1001A1RLF,101.77,-68.37,0.0,top
CN6,1.25-6PWT,CONN-SMD_1.25-6PWT-C2763634,62.325,-62.87,-90.0,top
CN7,B2B-PH-K-S,CONN-TH_B2B-PH-K-S,60.92,-74.9,-90.0,top
CN8,XH-2A,CONN-TH_XH-2A,127.7275,-146.74,0.0,top
CN9,XH-2A,CONN-TH_XH-2A,134.8,-138.88,-90.0,top
Card1,503398-1892,TF-SMD_503398-1892,130.445,-58.293,-90.0,top
D2,SMAJ16A_C74561,SMA_L4.3-W2.6-LS5.2-RD,96.9275,-140.52,180.0,top
D3,SMBJ14A_C353392,SMB_L4.4-W3.6-LS5.3-RD,126.78,-140.23,0.0,top
F1,FUSE,FUSE-SMD_L7.7-W5.4-H2.6,119.8575,-144.82,90.0,top
F2,FUSE,FUSE-SMD_L7.7-W5.4-H2.6,103.6775,-144.82,90.0,top
FPC1,FH12-22S-0.5SH,FPC-SMD_22P-P0.50_FH12-22S-0.5SH-55,80.15,-49.3,180.0,top
FPC2,FH12-22S-0.5SH,FPC-SMD_22P-P0.50_FH12-22S-0.5SH-55,115.04,-49.3,180.0,top
FPC3,ZH-6PWB,FPC-SMD_6P-P1.50_DEALON_ZH-6PWB,71.875,-145.7925,0.0,top
FPC4,ZH-6PWB,FPC-SMD_6P-P1.50_DEALON_ZH-6PWB,84.8375,-145.7025,0.0,top
H10,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,135.45,-48.275,0.0,top
H11,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,62.0,-146.725,0.0,top
H12,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,135.45,-146.725,90.0,top
H2,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,62.0,-48.275,0.0,top
H3,2.54mm-3P-JST,HDR-TH_3P-P2.54-V-M-1,129.775,-110.04625,-90.0,top
H4,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,75.26,-68.87,180.0,top
H5,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,123.27,-101.87,180.0,top
H6,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,123.27,-68.87,180.0,top
H9,MountingHole_Pad,MountingHole_2.7mm_M2.5_Pad,75.27,-101.87,180.0,top
L1,1uH,IND-SMD_L4.0-W4.0-A,103.2475,-129.77,180.0,top
L2,100Mhz Ferrit Bead,L0805,68.4,-74.545,90.0,top
L3,SWPA4020S4R7MT,IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,124.5,-118.825,90.0,top
L4,4.7uH,IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,111.025,-117.525,90.0,top
LED2,KT-0603R,LED0603-RD,90.5475,-136.0,180.0,top
LED3,KT-0603R,LED0603-RD,128.895,-98.575,0.0,top
LED5,0603 Led Green,LED0603-RD,127.425,-104.515,0.0,top
R1,2.2K,R0603,90.5975,-137.86,180.0,top
R11,0603WAF1000T5E,R0603,125.175,-136.775,180.0,top
R13,0603WAF2212T5E,R0603,117.45,-115.725,0.0,top
R14,22.1K,R0603,103.725,-114.1,0.0,top
R15,0603WAF1002T5E,R0603,105.0,-124.0,0.0,top
R17,RLP25FEGR010,R2512,112.4475,-139.82,0.0,top
R18,0603WAF0000T5E,R0603,121.525,-134.875,90.0,top
R19,0603WAF7322T5E,R0603,120.025,-130.175,180.0,top
R20,24K,R0603,101.08,-123.8,0.0,top
R21,39K,R0603,101.05,-120.2,0.0,top
R22,0603WAF2201T5E,R0603,118.09,-53.66,90.0,top
R23,5.1K,R0603,91.575,-132.05,-90.0,top
R24,30K,R0603,88.975,-132.1,90.0,top
R25,10K,R0603,128.59,-131.62,90.0,top
R26,0603WAF1002T5E,R0603,129.31,-72.68,0.0,top
R30,0603WAF1052T5E,R0603,95.475,-127.325,0.0,top
R31,0603WAF100JT5E,R0603,111.3075,-136.33,90.0,top
R32,10R,R0603,117.4775,-135.73,90.0,top
R33,0603WAF1002T5E,R0603,84.04,-113.64,0.0,top
R34,10K,R0603,81.995,-110.545,90.0,top
R35,0603WAF1002T5E,R0603,105.0,-125.725,0.0,top
R36,0603WAF1002T5E,R0603,110.445,-128.155,180.0,top
R37,0603WAF5232T5E,R0603,121.6,-132.04,90.0,top
R38,0603WAF1002T5E,R0603,124.425,-132.125,90.0,top
R39,0603WAF5102T5E,R0603,117.45,-117.525,0.0,top
R40,51K,R0603,103.725,-115.85,0.0,top
R41,10K,R0603,99.95,-126.55,180.0,top
R42,10K,R0603,85.4,-125.76,-90.0,top
R43,0603WAF5101T5E,R0603,69.225,-134.375,180.0,top
R44,0603WAF5101T5E,R0603,65.025,-144.55,90.0,top
R45,0603WAF1002T5E,R0603,98.715,-144.275,180.0,top
R46,10K,R0603,122.935,-132.115,-90.0,top
R48,0603WAF1003T5E,R0603,97.785,-146.96,90.0,top
R49,100K,R0603,68.55,-62.6,0.0,top
R50,1K,R0603,68.55,-64.05,0.0,top
R51,10K,R0603,65.36,-91.49,180.0,top
R52,10K,R0603,65.34,-89.84,180.0,top
R53,10K,R0603,65.35,-88.21,180.0,top
R54,10K,R0603,65.36,-86.61,180.0,top
R55,100K,R0603,114.7,-119.7,90.0,top
R56,10K,R0603,94.0875,-132.21,90.0,top
R57,1K,R0603,78.21,-131.905,0.0,top
R58,100K,R0603,101.075,-121.825,0.0,top
R59,10K,R0603,91.0,-140.9,90.0,top
R6,2.2K,R0603,121.81,-53.65,-90.0,top
R60,0603WAF1001T5E,R0603,95.78,-107.37,180.0,top
R61,330R,R0603,128.92,-102.37,0.0,top
R62,0603WAF1002T5E,R0603,84.05,-115.32,0.0,top
R63,100K,R0603,80.86,-123.78,0.0,top
R65,100K,R0603,84.325,-138.775,180.0,top
R66,100K,R0603,87.4,-138.425,180.0,top
R67,100K,R0603,83.375,-126.7,-90.0,top
R68,100K,R0603,79.67,-130.2,0.0,top
R69,100K,R0603,91.785,-107.465,0.0,top
R7,2.2k,R0603,120.02,-53.64,-90.0,top
R70,100K,R0603,95.795,-109.1,0.0,top
R71,1K,R0603,86.065,-110.4,180.0,top
R72,1K,R0603,114.8,-122.225,180.0,top
R76,0603WAF1500T5E,R0603,65.37,-85.06,0.0,top
R77,0603WAF1500T5E,R0603,65.39,-83.5,0.0,top
R78,0603WAF3300T5E,R0603,65.39,-81.86,0.0,top
R8,1K,R0603,128.87,-100.48,90.0,top
R9,0603WAF1002T5E,R0603,134.29,-90.76,180.0,top
TP2,3.3V Test Point,TestPoint_Pad_D1.5mm,129.035,-118.975,0.0,top
TP3,5V Test Point,TestPoint_Pad_D1.5mm,135.975,-131.775,0.0,top
TP7,SYSTEM_LOAD Test Point,TestPoint_Pad_D1.5mm,126.285,-123.315,0.0,top
U1,DSHP05TSGER_2,SW-SMD_10P-P1.27-L7.8-W5.4,133.2,-82.18,90.0,top
U10,DRV8848PWPR,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,78.9,-135.6,-90.0,top
U11,RT9742SNGV_C3235509,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,106.935,-54.155,-90.0,top
